_sha1,base,conf,run,seq,sig,ts,type
db70241317b7bfa4fd6eea20ada7bb9663b044ee,QQQ,0.99999821,temporal_q1,254,0,1662566880,signal
282db2cab86cca2e94f7ecece9468ed81658f9db,QQQ,0.99999821,temporal_q1,265,0,1662567300,signal
e7526b317b20436745d26ac5ebf17e369201ca03,QQQ,0.99999821,temporal_q1,274,0,1662567600,signal
e42f3bb39e77d78a148f344811eb42874fa3b0fd,QQQ,0.99999821,temporal_q1,283,0,1662567900,signal
d6f071182e30cf22ffc98b7720a4ed316f30f2c3,QQQ,0.99999821,temporal_q1,290,0,1662568200,signal
378aa0258683ee7b02c8caa25a4a0dbf9ca004d1,QQQ,0.99999821,temporal_q1,299,0,1662568500,signal
4a52fbedf1ea01f848dde40751c96a3caa79b3c6,QQQ,0.99999821,temporal_q1,308,0,1662568800,signal
5eb9c1f89616276436fe1c721bef1918a0c8e017,QQQ,0.99999821,temporal_q1,317,0,1662569100,signal
7e8128f61128461a09116673b7c6fb43c873e880,QQQ,0.99999821,temporal_q1,326,0,1662569400,signal
69eaa301fff2932b35b80f398c2564b1d9891c40,QQQ,0.99999821,temporal_q1,335,0,1662569700,signal
61b477d46f78a3edb2e7144355d91539f1ee19fd,QQQ,0.99999821,temporal_q1,345,0,1662570000,signal
3ae3c84006db22c39d4f7fe6c702b8dca5883ae0,QQQ,0.99999821,temporal_q1,354,0,1662570300,signal
320590250a1f65939fbfe155e8a62975e66fff39,QQQ,0.99999821,temporal_q1,363,0,1662570600,signal
26e9d0a90373b18023f64747d341d2e8864045e5,QQQ,0.55188209,temporal_q1,607,0,1662647820,signal
cd056dee15b22bb0decb2213c0bddcb4cce9cdef,QQQ,0.55091596,temporal_q1,634,0,1662649200,signal
a03b92ed9f32410c6d3465eb880d41f1debba142,QQQ,0.66781187,temporal_q1,914,0,1662665580,signal
5e971108ae5d7cdd0baa2985c5596f490133692c,QQQ,0.66781187,temporal_q1,982,0,1662732300,signal
fddf3f315dabcaa2bdc5f1bb1a553a609341aa4f,QQQ,0.66781187,temporal_q1,1049,0,1662736080,signal
5ff2b09aae3fca9c97426f4865bad56441b3bb37,QQQ,0.66781187,temporal_q1,1117,0,1662739860,signal
