_sha1,fees,inst,px,qty,run,seq,side,ts,type
7494d8148f024293fd4d1c2c0080e06e70ea8b34,0.0,TQQQ,26.875,186.04651163,temporal_q1,257,0,1662566880,fill
997376bb21d1c90ac0b2c9f5ed62ba32b23e5757,0.0,TQQQ,26.74,0.89231358,temporal_q1,268,0,1662567300,fill
b31257e5d3023cb64a521e5555e148888240d393,0.0,TQQQ,26.6299,0.73424483,temporal_q1,277,0,1662567600,fill
3f2b43990a9f73b9f855ee1f44ec6d12d96e692d,0.0,TQQQ,26.62,0.06630598,temporal_q1,293,0,1662568200,fill
e69cd81cc77254f2669238bce40fb3d7c6af4f4a,0.0,TQQQ,26.6737,0.35906246,temporal_q1,302,1,1662568500,fill
be59b85066ab457a67a2628a5dd7d27255c5d24e,0.0,TQQQ,26.9091,1.5572375,temporal_q1,311,1,1662568800,fill
6017f6c924656ee92a05c45d638266f3a7082464,0.0,TQQQ,26.99,0.52913792,temporal_q1,320,1,1662569100,fill
d949af092d0cd1189a4ee2ed90cc15fedf19014f,0.0,TQQQ,26.962,0.18280613,temporal_q1,329,0,1662569400,fill
ad71d1c1371079fa850d909bc29d7d69adcc3971,0.0,TQQQ,26.9099,0.34114476,temporal_q1,338,0,1662569700,fill
31c0c2fb43acdbf310eaffcb1f0408239949658b,0.0,TQQQ,26.94,0.1972332,temporal_q1,348,1,1662570000,fill
4a963f54b0efd415e38acb1d9f612fb6e5c3f35a,0.0,TQQQ,27.0799,0.91100459,temporal_q1,357,1,1662570300,fill
b440776e3f7c82fddfee106d7baa30ebd49bf4e1,0.0,TQQQ,27.0564,0.15240915,temporal_q1,366,0,1662570600,fill
d49a0abba726c9a138c780802355000ea3863278,0.0,QQQ,299.615,16.71639776,temporal_q1,610,0,1662647820,fill
a331df10e2a3b3a2c20a5333b8310c3ba0754ee6,0.0,QQQ,301.4802,0.08246372,temporal_q1,637,1,1662649200,fill
9aa353264320d835d7b44c903c277f5c7f726475,0.0,QQQ,299.24,0.0989949,temporal_q1,917,0,1662665580,fill
f62854f010edcb64e76116e7c2035f240bec3030,0.0,QQQ,305.37,0.26734291,temporal_q1,985,1,1662732300,fill
462d9892ee608e3400f23b6f6d92aeece018b107,0.0,QQQ,305.9028,0.02241014,temporal_q1,1052,1,1662736080,fill
a42fe4979c5225556fccd36e7ea400e359761250,0.0,QQQ,305.77,0.00557526,temporal_q1,1120,0,1662739860,fill
